,vacancyTitle,conceptUri
0,Internship Digital Marketer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
1,Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
2,MARKETING STAFF,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
3,Sales representations,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
4,Marketing & Business Development Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
5,MARKETING ASSISTANT (SELANGOR),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
6,Sales and Marketing Snr. Executive ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
7,marketing trainee,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
8,MARKETING EXECUTIVE IN PENANG,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
9,MARKETING MANAGER SECRETARY,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
10, Business Studies / Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
11,MARKETING ASSISTANT ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
12,Internship (Marketing),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
13,AKLA Apprentice - Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
14,Marketing Assistant Manager,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
15,Fashion Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
16,Marketing officer for Resort,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
17,Marketer ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
18,M&P Executive / Officer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
19,marketing internship practical,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
20,Marketing (Livestream),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
21,Marketing Admin Assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
22,Marketing cum Merchandising Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
23,Intern (Marketing),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
24,Apprentice Corporate Marketing - RM1000* | FOC Monthly Activ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
25,IT AND MARKETING,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
26,Student Recruitment Officer (Marketing),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
27,Admin Support (Marketing & Trading),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
28, Photography / Video Editing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
29,ASSISTANT MARKETING MANAGER ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
30,Marketing Apprenticeship,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
31,Digital Marketing/Social Media Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
32,Online and Offline Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
33,Marketing Communication Assistant Manager,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
34,Digital Marketing assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
35,Marketing Supervisor,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
36,MARKETING & ADMIN CLERK ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
37,Influencer Media Sosial,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
38,Apprentice For Marketing - RM1000* | FOC Monthly Activities,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
39,Sale & Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
40,Internship ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
41,Digital Executive Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
42,Marketing (Trainee),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
43,Marketing Officer/Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
44,Assistant Marketers - Real Estate,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
45,Assistant Marketing Officer / Life Planner-Elite,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
46,Real Estate Start Up Programme,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
47,MARKETING TRAINEES,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
48,"Sales Marketing di Hong Li Mobile Accessories, Paka Trg ",http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
49,"Assistant Manager / Senior Executive, Sales Admin",http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
50,Marketing Assistant (Cason Group),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
51,Marketing & Digital Content Intern,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
52,Field Sales & Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
53,Marketing assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
54,SALES  EXECUTIVE,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
55,Brand Marketing (CTDP Internship),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
56,Marketing / IT,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
57,Maintenance and Marketing Associate,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
58,MARKETING ASSITANT,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
59,INTERNSHIP OTA/MARKETING,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
60,Sale Manager ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
61,IPOH Real Estate Start Up Programme!,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
62,Business & Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
63,Marketing Trader ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
64,MARKETING & SALES EXECUTIVE ( BASED IN JB ),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
65,Junior Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
66,Marketing - Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
67,Marketing / IT Executive ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
68,Apprentice Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
69,Markerting ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
70,MARKETING EXECUTIVE ( LAVENDER ),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
71,E - Commerce / Digital Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
72,Marketing Trainee,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
73,Social Media Executive cum Graphic Design,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
74,Real Estate Property Start Up Programme【MCO3.0 房地产创业金】,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
75,Assistant Marketing Manager ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
76,MARKETING CUM ADMIN ASSISTANT,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
77, Management Trainee - Brand Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
78,Intern / Trainee (Digital Marketing & E-Commerce),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
79,Indoor Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
80,Sales Representative (frozen food),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
81,Market Research Analyst,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
82,AMS APPRENTICE - Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
83,Trainer in Business Accounting and Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
84,Online marketing executive (Fashion),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
85,EXECUTIVE MARKETING,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
86,Marketing/ Communication Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
87,Internship - Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
88,MARKETING INTERN,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
89,Marketing Support Executive (DV 41),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
90,SALES Executive ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
91,Tele Marketing (Commission Provided),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
92,"EXECUTIVE, MARKETING & COMMUNICATION",http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
93,Contract - Marketing Assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
94,EXECUTIVE – MARKETING &  COMMUNICATIONS,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
95,Senior marketing executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
96,Social Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
97,Marketing and Content Assistant (intern/Apprentice),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
98,Merchandiser & promoter,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
99,Marketing Assistance,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
100,SALES AND MARKETING PERSONAL,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
101,digital marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
102,Marketing and sales,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
103,Digital Marketing Intern,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
104,Marketing Officer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
105,Go-To-Market Officer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
106,MARKETING SUPERVISOR,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
107,Sales and Marketting Leader,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
108,Assistance Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
109,Assistant Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
110,Communication Officer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
111,ASST ADMIN EXEC,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
112,MARKETING ASSISTANT (APPRENTICESHIP),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
113,Marketing & Sales Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
114,Marketing Associate (Mandarin Speaker) - Glenmarie Shah Alam,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
115,SALES AND MARKETING REPRESENTATIVE,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
116,Marketing Asistant Manager,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
117,SENIOR SALES MANAGER,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
118,Business Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
119,Marketing Analyst,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
120,Marketing & Business developement,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
121,Junior Marketing ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
122,intern staff ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
123,MARKETING SALES ASSISTANT ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
124,Marketing cum designer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
125,MARKETING ADMINISTRATIVE,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
126,Apprentice - Business Development.,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
127,Marketing Excecutive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
128,Marketing & Project Assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
129,Admin and Marketing Assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
130,Apprentice of Digital Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
131,Trade Marketing Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
132,Digital Marketing & Support Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
133,Marketing & Operation Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
134,MARKETING TRAINEE,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
135,MARKETING ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
136,Marketing Assistance ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
137,Content Writer cum Marketing Assistant,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
138,Marketing  Intern ,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
139,Service Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
140,Sales & Marketing Officer,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
141,Affiliates Marketing,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
142,Marketing and Business Development Executive,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
143,MARKET EXECUTIVE,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
144,Marketing & Retail2,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
145,Junior Marketing Representative,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
146,MARKETING ASSISTANT,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
147,Internship (Mass Communication / Marketing),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
148,Marketing Executive (Intern),http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
149,SALESPERSON/MARKETING/PACKGING /CLEANER,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
150,Sales & Marketing Education,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344
